지점,지점명,일시,강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm)
108,서울,2016.1.13,3.42,,,,,0.4
108,서울,2016.1.14,2.1,,,,,0
108,서울,2016.1.16,4.83,,,,,0.1
108,서울,2016.1.18,4.9,,,,,0.2
108,서울,2016.1.23,0.58,,,,,0
108,서울,2016.1.26,8.33,,,,,0.3
108,서울,2016.2.11,2.08,,,,,0.1
108,서울,2016.2.12,24,,,,,18
108,서울,2016.2.13,14.1,,,,,21
108,서울,2016.2.14,9,,,,,2.5
108,서울,2016.2.15,1.72,,,,,0
108,서울,2016.2.16,4.92,,,,,0.8
108,서울,2016.2.22,2.25,,,,,0
108,서울,2016.2.23,2.5,,,,,0.9
108,서울,2016.2.26,0.5,,,,,0
108,서울,2016.2.27,3.83,,,,,0.2
108,서울,2016.2.28,4,,,,,4.1
108,서울,2016.2.29,2.05,,,,,0
108,서울,2016.3.4,1.03,,,,,0.1
108,서울,2016.3.5,10.87,,,,,40
108,서울,2016.3.6,2.92,,,,,0.2
108,서울,2016.3.7,0.17,,,,,0
108,서울,2016.3.13,2,,,,,0.1
108,서울,2016.3.29,1.17,,,,,0.1
108,서울,2016.4.3,8.43,0.5,1229,1,1500,2
108,서울,2016.4.6,2.12,1,2319,2.5,2242,3
108,서울,2016.4.7,6.95,0.5,0,2,2,7.5
108,서울,2016.4.13,7.5,0.5,652,1,629,1
108,서울,2016.4.16,11.17,2,1958,7.5,1936,23.5
108,서울,2016.4.17,5.67,2,106,7.5,38,20.5
108,서울,2016.4.18,2.13,0.5,1713,1.5,1707,1.5
108,서울,2016.4.20,7.2,0.1,1847,0.3,1844,0.5
108,서울,2016.4.21,11.83,1,326,4,657,17
108,서울,2016.4.22,0.5,0,,0,,0
108,서울,2016.4.29,0.23,0.3,206,0.3,204,0.3
108,서울,2016.5.2,7.08,2.5,2143,7,2119,16.5
108,서울,2016.5.3,20.72,3,954,6,904,27
108,서울,2016.5.5,3.33,2.5,2305,6,2236,7.5
108,서울,2016.5.6,10.87,2,745,5,727,9.5
108,서울,2016.5.9,0.28,0,,0,,0
108,서울,2016.5.10,12.5,0.5,459,2.5,950,13.5
108,서울,2016.5.13,3.08,0.5,200,0.5,110,0.5
108,서울,2016.5.15,10.17,3.5,1641,12,1617,45
108,서울,2016.5.16,2.33,0.5,2,1.5,-2331,2.5
108,서울,2016.5.24,11.17,2.5,332,7.5,327,38.5
108,서울,2016.5.26,1.25,0,,0,,0
108,서울,2016.6.6,0.83,0,,0,,0
108,서울,2016.6.7,2.32,0.1,,0.1,,0.1
108,서울,2016.6.11,2.8,1.5,1516,1.5,1507,3
108,서울,2016.6.12,1.87,1,515,1.5,-2331,1.5
108,서울,2016.6.14,1.18,0,,0,,0
108,서울,2016.6.15,11,2.5,629,7,539,15.5
108,서울,2016.6.16,0.27,0,,0,,0
108,서울,2016.6.19,1,0,,0,,0
108,서울,2016.6.22,4.37,16.5,1355,26,1339,30.5
108,서울,2016.6.23,1.38,0.1,,0.1,,0.1
108,서울,2016.6.24,11.5,0.5,36,1,619,3.5
108,서울,2016.6.30,5.28,0.1,,0.1,,0.2
108,서울,2016.7.1,13.03,20.5,1526,31.5,1440,108.5
108,서울,2016.7.2,6.17,0.5,1,2,121,4
108,서울,2016.7.4,13.67,6.5,2224,13,2139,29.5
108,서울,2016.7.5,22.92,10.5,838,40,839,100.5
108,서울,2016.7.6,1.25,0,,0,,0
108,서울,2016.7.7,0.92,0,,0,,0
108,서울,2016.7.11,0.7,0,,0,,0
108,서울,2016.7.12,5.25,1,552,2,520,3
108,서울,2016.7.13,0.5,0,,0,,0
108,서울,2016.7.14,1.3,0.1,,0.1,,0.1
108,서울,2016.7.15,4.17,0.5,2306,1.4,2249,1.5
108,서울,2016.7.16,22.25,2.5,543,9,541,46.5
108,서울,2016.7.17,6.25,1,18,2.5,-2347,2.5
108,서울,2016.7.18,1.17,0.1,,0.2,,0.2
108,서울,2016.7.23,2.82,0.4,1922,0.4,1855,0.5
108,서울,2016.7.24,1.78,0.5,1213,0.5,1205,0.5
108,서울,2016.7.27,2.17,0.4,1406,0.5,1330,0.5
108,서울,2016.7.28,1.22,0.2,,0.2,,0.2
108,서울,2016.7.29,8.63,14.5,638,51.5,626,59.5
108,서울,2016.7.30,3.75,0.5,23,0.5,0,0.5
108,서울,2016.7.31,1.25,0.1,,0.1,,0.2
108,서울,2016.8.2,1.5,1,1812,2,1758,2
108,서울,2016.8.9,2.02,0.5,1611,0.5,1605,1
108,서울,2016.8.14,0.33,0.2,,0.2,,0.2
108,서울,2016.8.15,0.67,0,,0,,0
108,서울,2016.8.16,0.92,0.5,1555,0.5,1530,0.5
108,서울,2016.8.19,1.42,4.5,1727,11.5,1644,11.5
108,서울,2016.8.21,0.67,0,,0,,0
108,서울,2016.8.22,0.33,0.4,1912,0.4,,0.4
108,서울,2016.8.23,2.67,3,1555,7,1505,8
108,서울,2016.8.24,0.58,0,,0,,0
108,서울,2016.8.25,3.18,1.5,1944,3.5,1914,4.5
108,서울,2016.8.26,6.08,1.5,302,6.5,256,20
108,서울,2016.8.27,1.25,0,,0,,0
108,서울,2016.8.28,7.07,0.5,1636,1.5,1611,1.5
108,서울,2016.8.30,1.33,0,,0,,0
108,서울,2016.8.31,16.92,1,1124,3,1043,17.5
108,서울,2016.9.2,1.5,3,214,4.5,205,4.5
108,서울,2016.9.3,2.67,0.5,58,0.5,25,0.5
108,서울,2016.9.8,2.85,1.5,1239,3.5,1154,4.5
108,서울,2016.9.12,0.78,1.5,1409,2.5,1358,2.5
108,서울,2016.9.17,7.5,1,631,3.5,628,7
108,서울,2016.9.27,14.5,1,1343,4,1341,13.5
108,서울,2016.9.28,3.25,0.5,1,0.5,1,0.5
108,서울,2016.10.2,13.83,2,1225,6.5,1700,18.5
108,서울,2016.10.3,7.17,1,608,2,558,6.5
108,서울,2016.10.7,7.5,0.5,1740,1,2258,2
108,서울,2016.10.8,6.92,0.5,1,2.5,6,6
108,서울,2016.10.16,6.62,0.5,1449,0.5,1359,1.5
108,서울,2016.10.23,7.42,0.5,1455,1.5,1503,2.5
108,서울,2016.10.25,10.17,2.5,716,10,715,37
108,서울,2016.10.26,0.75,0,,0,,0
108,서울,2016.10.28,4.5,0.1,,0.2,,0.3
108,서울,2016.10.31,3.92,0.1,,0.3,646,0.5
108,서울,2016.11.2,3.57,,,,,0.1
108,서울,2016.11.3,2.33,,,,,0.2
108,서울,2016.11.4,0.33,,,,,0
108,서울,2016.11.5,0.25,,,,,0
108,서울,2016.11.7,6.25,,,,,5.5
108,서울,2016.11.8,1.25,,,,,0.5
108,서울,2016.11.10,1.08,,,,,0.4
108,서울,2016.11.11,3.92,,,,,4
108,서울,2016.11.13,1.13,,,,,0.5
108,서울,2016.11.14,6.33,,,,,1.5
108,서울,2016.11.18,2.5,,,,,0
108,서울,2016.11.19,3.33,,,,,0
108,서울,2016.11.22,1.25,,,,,0.2
108,서울,2016.11.26,7.52,,,,,2.8
108,서울,2016.11.27,2,,,,,0
108,서울,2016.11.30,2.42,,,,,1
108,서울,2016.12.5,1.55,,,,,1.5
108,서울,2016.12.7,3.08,,,,,0
108,서울,2016.12.8,4.93,,,,,3
108,서울,2016.12.9,1.92,,,,,3
108,서울,2016.12.14,3.95,,,,,0.1
108,서울,2016.12.17,1.25,,,,,0
108,서울,2016.12.19,3.17,,,,,0.1
108,서울,2016.12.21,8.92,,,,,29
108,서울,2016.12.22,18.83,,,,,23.5
108,서울,2016.12.23,13.53,,,,,0.1
108,서울,2016.12.26,2.58,,,,,0
108,서울,2016.12.27,4.67,,,,,0.5
108,서울,2016.12.29,2.5,,,,,0.3
108,서울,2016.12.31,0.42,,,,,0
108,서울,2017.1.2,2.08,,,,,0.3
108,서울,2017.1.8,2.25,,,,,0
108,서울,2017.1.9,1.17,,,,,0
108,서울,2017.1.12,1.67,,,,,0
108,서울,2017.1.13,3.42,,,,,0.6
108,서울,2017.1.18,0.83,,,,,0
108,서울,2017.1.20,6.75,,,,,4
108,서울,2017.1.21,6.72,,,,,2.1
108,서울,2017.1.22,0.42,,,,,0
108,서울,2017.1.26,0.83,,,,,0.3
108,서울,2017.1.27,1.67,,,,,3
108,서울,2017.1.29,13.2,,,,,4.5
108,서울,2017.1.30,1.58,,,,,0.1
108,서울,2017.2.5,9.95,,,,,0.5
108,서울,2017.2.16,1.12,,,,,0
108,서울,2017.2.17,5.17,,,,,4
108,서울,2017.2.19,8.62,,,,,1
108,서울,2017.2.20,3.08,,,,,0.5
108,서울,2017.2.22,10.92,,,,,5.1
108,서울,2017.3.1,7.67,,,,,5
108,서울,2017.3.2,2.92,,,,,0.5
108,서울,2017.3.5,3.17,,,,,0.5
108,서울,2017.3.7,0.42,,,,,0
108,서울,2017.3.8,0.58,,,,,0
108,서울,2017.3.12,1.25,,,,,0
108,서울,2017.3.27,2.58,,,,,0.4
